Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,016001,1983,04,17.8,Y
IDCJAC0001,016001,1983,05,3.0,Y
IDCJAC0001,016001,1983,06,3.4,Y
IDCJAC0001,016001,1983,07,12.2,Y
IDCJAC0001,016001,1983,08,17.6,Y
IDCJAC0001,016001,1983,09,11.6,Y
IDCJAC0001,016001,1983,10,8.6,Y
IDCJAC0001,016001,1983,11,22.2,Y
IDCJAC0001,016001,1983,12,32.6,Y
IDCJAC0001,016001,1984,01,14.6,Y
IDCJAC0001,016001,1984,02,0.0,Y
IDCJAC0001,016001,1984,03,1.0,Y
IDCJAC0001,016001,1984,04,19.0,Y
IDCJAC0001,016001,1984,05,11.4,Y
IDCJAC0001,016001,1984,06,22.2,Y
IDCJAC0001,016001,1984,07,4.2,Y
IDCJAC0001,016001,1984,08,10.4,Y
IDCJAC0001,016001,1984,09,29.6,Y
IDCJAC0001,016001,1984,10,8.8,Y
IDCJAC0001,016001,1984,11,8.6,Y
IDCJAC0001,016001,1984,12,1.4,Y
IDCJAC0001,016001,1985,01,3.6,Y
IDCJAC0001,016001,1985,02,3.4,Y
IDCJAC0001,016001,1985,03,7.4,Y
IDCJAC0001,016001,1985,04,0.0,Y
IDCJAC0001,016001,1985,05,31.2,Y
IDCJAC0001,016001,1985,06,2.2,Y
IDCJAC0001,016001,1985,07,7.2,Y
IDCJAC0001,016001,1985,08,40.8,Y
IDCJAC0001,016001,1985,09,0.6,Y
IDCJAC0001,016001,1985,10,20.4,Y
IDCJAC0001,016001,1985,11,2.6,Y
IDCJAC0001,016001,1985,12,0.8,Y
IDCJAC0001,016001,1986,01,0.0,Y
IDCJAC0001,016001,1986,02,1.6,Y
IDCJAC0001,016001,1986,03,0.0,Y
IDCJAC0001,016001,1986,04,0.2,Y
IDCJAC0001,016001,1986,05,16.0,Y
IDCJAC0001,016001,1986,06,6.4,Y
IDCJAC0001,016001,1986,07,54.6,Y
IDCJAC0001,016001,1986,08,39.6,Y
IDCJAC0001,016001,1986,09,1.6,Y
IDCJAC0001,016001,1986,10,43.8,Y
IDCJAC0001,016001,1986,11,11.2,Y
IDCJAC0001,016001,1986,12,24.6,Y
IDCJAC0001,016001,1987,01,26.0,Y
IDCJAC0001,016001,1987,02,59.6,Y
IDCJAC0001,016001,1987,03,10.4,Y
IDCJAC0001,016001,1987,04,1.0,Y
IDCJAC0001,016001,1987,05,26.2,Y
IDCJAC0001,016001,1987,06,14.4,Y
IDCJAC0001,016001,1987,07,10.8,Y
IDCJAC0001,016001,1987,08,14.8,Y
IDCJAC0001,016001,1987,09,6.2,Y
IDCJAC0001,016001,1987,10,2.0,Y
IDCJAC0001,016001,1987,11,4.2,Y
IDCJAC0001,016001,1987,12,10.0,Y
IDCJAC0001,016001,1988,01,2.8,Y
IDCJAC0001,016001,1988,02,0.2,Y
IDCJAC0001,016001,1988,03,45.0,Y
IDCJAC0001,016001,1988,04,1.6,Y
IDCJAC0001,016001,1988,05,38.4,Y
IDCJAC0001,016001,1988,06,20.4,Y
IDCJAC0001,016001,1988,07,8.6,Y
IDCJAC0001,016001,1988,08,0.8,Y
IDCJAC0001,016001,1988,09,7.6,Y
IDCJAC0001,016001,1988,10,2.2,Y
IDCJAC0001,016001,1988,11,14.6,Y
IDCJAC0001,016001,1988,12,57.2,Y
IDCJAC0001,016001,1989,01,0.0,Y
IDCJAC0001,016001,1989,02,0.0,Y
IDCJAC0001,016001,1989,03,191.2,Y
IDCJAC0001,016001,1989,04,26.0,Y
IDCJAC0001,016001,1989,05,58.8,Y
IDCJAC0001,016001,1989,06,27.4,Y
IDCJAC0001,016001,1989,07,26.2,Y
IDCJAC0001,016001,1989,08,1.4,Y
IDCJAC0001,016001,1989,09,1.2,Y
