Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,016001,1991,05,21.0,Y
IDCJAC0002,016001,1991,06,19.0,Y
IDCJAC0002,016001,1991,07,18.1,Y
IDCJAC0002,016001,1991,08,19.1,Y
IDCJAC0002,016001,1991,09,24.6,Y
IDCJAC0002,016001,1991,10,29.0,Y
IDCJAC0002,016001,1991,11,30.1,Y
IDCJAC0002,016001,1991,12,31.5,Y
IDCJAC0002,016001,1992,01,31.4,Y
IDCJAC0002,016001,1992,02,33.5,Y
IDCJAC0002,016001,1992,03,31.4,Y
IDCJAC0002,016001,1992,04,25.7,Y
IDCJAC0002,016001,1992,05,19.8,Y
IDCJAC0002,016001,1992,06,17.4,Y
IDCJAC0002,016001,1992,07,18.8,Y
IDCJAC0002,016001,1992,08,18.5,Y
IDCJAC0002,016001,1992,09,20.0,Y
IDCJAC0002,016001,1992,10,23.6,Y
IDCJAC0002,016001,1992,11,26.8,Y
IDCJAC0002,016001,1992,12,28.5,Y
IDCJAC0002,016001,1993,01,34.1,Y
IDCJAC0002,016001,1993,02,33.6,Y
IDCJAC0002,016001,1993,03,30.6,Y
IDCJAC0002,016001,1993,04,27.9,Y
IDCJAC0002,016001,1993,05,21.3,Y
IDCJAC0002,016001,1993,06,16.9,Y
IDCJAC0002,016001,1993,07,17.5,Y
IDCJAC0002,016001,1993,08,21.2,Y
IDCJAC0002,016001,1993,09,22.7,Y
IDCJAC0002,016001,1993,10,24.5,Y
IDCJAC0002,016001,1993,11,32.3,Y
IDCJAC0002,016001,1993,12,30.7,Y
IDCJAC0002,016001,1994,01,33.8,Y
IDCJAC0002,016001,1994,02,32.9,Y
IDCJAC0002,016001,1994,03,30.9,Y
IDCJAC0002,016001,1994,04,26.3,Y
IDCJAC0002,016001,1994,05,22.7,Y
IDCJAC0002,016001,1994,06,18.2,Y
IDCJAC0002,016001,1994,07,18.6,Y
IDCJAC0002,016001,1994,08,19.1,Y
IDCJAC0002,016001,1994,09,22.9,Y
IDCJAC0002,016001,1994,10,28.2,Y
IDCJAC0002,016001,1994,11,29.7,Y
IDCJAC0002,016001,1994,12,35.3,Y
IDCJAC0002,016001,1995,01,34.6,Y
IDCJAC0002,016001,1995,02,34.2,Y
IDCJAC0002,016001,1995,03,29.0,Y
IDCJAC0002,016001,1995,04,23.3,Y
IDCJAC0002,016001,1995,05,19.7,Y
IDCJAC0002,016001,1995,06,17.4,Y
IDCJAC0002,016001,1995,07,16.2,Y
IDCJAC0002,016001,1995,08,21.0,Y
IDCJAC0002,016001,1995,09,22.7,Y
IDCJAC0002,016001,1995,10,26.7,Y
IDCJAC0002,016001,1995,11,30.1,Y
IDCJAC0002,016001,1995,12,31.8,Y
IDCJAC0002,016001,1996,01,33.7,Y
IDCJAC0002,016001,1996,02,33.7,Y
IDCJAC0002,016001,1996,03,31.8,Y
IDCJAC0002,016001,1996,04,24.5,Y
